Oversampling Factor,Noise Level,Amplitude Error Mean,Amplitude Error Std,Frequency Error Mean,Frequency Error Std,Backward Error Mean,Backward Error Std,Relative Backward Error Mean,Relative Backward Error Std,Condition Number Mean,Condition Number Std,Condition Number Min,Condition Number Max,Condition Number Median,Amplitude Error Ratio Mean,Amplitude Error Ratio Std,Frequency Error Ratio Mean,Frequency Error Ratio Std,RMSE Mean,RMSE Std,Rel RMSE Mean,Rel RMSE Std,Backward Error Fixed Mean,Backward Error Fixed Std,Relative Backward Error Fixed Mean,Relative Backward Error Fixed Std,RMSE Fixed Mean,RMSE Fixed Std,Rel RMSE Fixed Mean,Rel RMSE Fixed Std
2,0.0,2.1401809465520557e-15,0.0,3.799907177450663e-16,1.4791141972893971e-31,9.05262845271589e-15,1.5777218104420236e-30,1.794825224388951e-15,3.944304526105059e-31,4759993361891175.0,0.0,4759993361891175.0,4759993361891175.0,4759993361891175.0,0.23641541876271066,8.326672684688674e-17,0.0419757333165557,6.938893903907228e-18,2.510747389537797e-15,7.888609052210118e-31,1.7948252243889508e-15,3.944304526105059e-31,6.080200037317089e-15,7.888609052210118e-31,1.2810270238870247e-15,0.0,2.0267333457723633e-15,0.0,1.281027023887024e-15,1.9721522630525295e-31
2,0.05555555555555555,0.04703218398357491,0.016361753685001146,0.005480624815988443,0.0016195202698044244,0.12870384418069972,0.03277088759926728,0.02549999901638983,0.006499814104884457,43.67857194002083,13.483995826671027,18.51339031944476,115.75824648115133,41.55976813323331,0.38444303233578253,0.16061022063076394,0.04424354960221812,0.014253784090708271,0.03569602381098773,0.009089008890894246,0.025499999016389815,0.006499814104884452,0.09350564698066084,0.02614291005825379,0.019691532097289282,0.005514951151724535,0.031168548993553615,0.008714303352751262,0.01969153209728927,0.005514951151724533
2,0.1111111111111111,0.09461612849325443,0.033251174715199665,0.011053630848375838,0.0033467912355573315,0.25800970542856644,0.06610470015549019,0.0510107476913972,0.013091612640547772,21.92130520630154,6.758352655611267,9.47805038052029,57.431404270920275,20.771580572549446,0.3858627616838338,0.16176185838622364,0.04448960184196855,0.014363547812407203,0.07155901711461969,0.01833414507383017,0.05101074769139717,0.013091612640547763,0.18741981019037235,0.05268404626223382,0.03941291378181353,0.011127816635321044,0.062473270063457445,0.017561348754077943,0.03941291378181352,0.01112781663532104
2,0.16666666666666666,0.1432691602040787,0.051033763303321496,0.016825538618551864,0.005309359791626849,0.38855023373559133,0.10072181638820232,0.0765475168311653,0.01987747987143893,14.703436862512328,4.520701544548674,6.548095419061133,37.984198850500356,13.925471363818476,0.38808048300667825,0.16331262093610005,0.044927595011955035,0.01461777452388277,0.1077644454482456,0.027935205657348663,0.07654751683116526,0.019877479871438918,0.28223871802254463,0.08013592620867627,0.05921050706269675,0.01694233350490829,0.09407957267418154,0.02671197540289209,0.05921050706269672,0.016942333504908286
2,0.2222222222222222,0.19361407839876715,0.07014697797763288,0.022948924264712296,0.007677738101102744,0.5210004059583355,0.13765053265947816,0.10213412799732156,0.02701179403634885,11.121097963765624,3.4046266547294537,5.028303941307349,28.257888001110558,10.517201617390242,0.3912518641696569,0.16530600931427789,0.04561718211713443,0.015035156242748914,0.14449951370925634,0.03817738873835992,0.10213412799732151,0.027011794036348836,0.37849570438103425,0.10909636007324551,0.07913641433307325,0.023070362318797135,0.12616523479367808,0.0363654533577485,0.07913641433307321,0.023070362318797125
2,0.2777777777777778,0.246450705184504,0.09129567947466091,0.029629165728072428,0.01082172012670731,0.6559763776548648,0.17801718477447037,0.12778316331636327,0.034656560865833845,8.993931633577096,2.7366703053942114,4.124112368628004,22.519964429691353,8.533340982078498,0.3956074945406872,0.16786577466862287,0.04662136651160064,0.015764143558315177,0.18193511270213425,0.04937308366293079,0.12778316331636322,0.03465656086583383,0.4767433127204431,0.14020188009050694,0.09924356176204545,0.029615557490432164,0.158914437573481,0.04673396003016898,0.0992435617620454,0.029615557490432147
2,0.3333333333333333,0.302745249640077,0.1157560076177114,0.037139390366365495,0.015440916421210354,0.7936044063016372,0.22120919666310357,0.15341506626241813,0.042649050922511,7.595580950598386,2.2922652930991685,3.517622405291218,18.97776624662817,7.218338016259185,0.4014835946975219,0.1713216169607714,0.04803980338871429,0.017135478534144304,0.22010625995036232,0.06135239239792443,0.15341506626241805,0.04264905092251098,0.5774302120316965,0.17372132345754027,0.11955979070599253,0.036590808960714476,0.1924767373438989,0.057907107819180084,0.11955979070599247,0.036590808960714455
2,0.38888888888888884,0.3642986180611532,0.14801402847205528,0.04610631479265887,0.024695612320190522,0.9333654234259247,0.2645823672119992,0.17883410743827968,0.05047563112959014,6.615157070460445,1.9752285673788297,3.0155296988836704,16.446391887614027,6.297155412601196,0.4098444108617696,0.17699649563601796,0.050202050185902014,0.0205239153629321,0.25886899176210226,0.07338194550511579,0.17883410743827957,0.05047563112959011,0.6807052456738084,0.2093989299782945,0.14004937378798754,0.04390182106410856,0.22690174855793618,0.06979964332609816,0.14004937378798746,0.04390182106410854
2,0.4444444444444444,0.43462515082808034,0.2072114792355648,0.06005459038721004,0.08057183519042964,1.0752283527546225,0.30853208728845744,0.20394587398094663,0.05816904393768435,5.897671357429052,1.7374924778572185,2.6540831122574495,14.546542689422006,5.6355084584154955,0.42226924388835624,0.19120258055785058,0.055678997736195696,0.0637656253386669,0.2982146891299594,0.08557140468034342,0.2039458739809465,0.058169043937684316,0.7867389972070837,0.2475950313876159,0.16067776176252205,0.05154300889426215,0.26224633240236117,0.08253167712920531,0.160677761762522,0.051543008894262124
2,0.5,0.5124991479708522,0.28396840233972637,0.08150064700023074,0.14569749020396677,1.2190138903942602,0.3530667559149184,0.22862861555682992,0.06557819176177056,5.3567794251636895,1.5535259910478232,2.390244344870368,13.067659350861934,5.115420990478904,0.43684117724997373,0.21031783944892996,0.0653753827933295,0.10562382915389748,0.33809362210148813,0.09792309939330514,0.22862861555682976,0.06557819176177052,0.8952325758363834,0.2868322983488034,0.18131665573047684,0.059124874500763265,0.29841085861212774,0.0956107661162678,0.18131665573047673,0.05912487450076324
